idx	peer	tip_height	tip_hash	tip_hash_decimal	root_height	root_hash	root_hash_decimal	depth	anchor
0	12D3KooWAdgYL6hv18M3iDBdaK1dRygPivSfAfBNDzie6YqydVbs	541051	3NKvg68wGZ8G5GCi78CgyXiW1Y2K1ckJgaUuzRRQMVhjXsb6XjJJ	4408525822864202819324733635172167419964494603183344565386617151344786248565	540761	3NK5qpMSCQWV9WnEfTGXRyZ8cF69Aedbj7ipPoqsd2qAPhzhMQPF	17601123425804788118962542903369070225136465235537115291772290658404511887878	290	ok
1	12D3KooWLjs54xHzVmMmGYb7W5RVibqbwD1co7M2ZMfPgPm7iAag	541051	3NKvg68wGZ8G5GCi78CgyXiW1Y2K1ckJgaUuzRRQMVhjXsb6XjJJ	4408525822864202819324733635172167419964494603183344565386617151344786248565	540761	3NK5qpMSCQWV9WnEfTGXRyZ8cF69Aedbj7ipPoqsd2qAPhzhMQPF	17601123425804788118962542903369070225136465235537115291772290658404511887878	290	ok
