# module	maxHeartbeats	maxRecDepth	import-Mathlib-whole
# Generated by scripts/check-elab-cost.py --update-baseline.
# These numbers may only go DOWN. See the module docstring for why this
# gate ratchets declarations and not wall time.
Dregg2.Circuit.Emit.ExactPublicTableEmit	0	100000	0
Dregg2.Circuit.Emit.FieldsCanonicity9Emit	0	8000	0
Dregg2.Circuit.Emit.FtCommWeld	0	4000000	0
Dregg2.Circuit.Emit.GraduateWideNarrow	0	16000	0
Dregg2.Circuit.Emit.KeyCanonicity9Emit	0	8000	0
Dregg2.Circuit.Emit.KimchiAssertEqual	0	20000	0
Dregg2.Circuit.Emit.KimchiCellCommit	0	40000	0
Dregg2.Circuit.Emit.KimchiComposeStepFragment	0	10000	0
Dregg2.Circuit.Emit.KimchiConditionalCircuit	0	100000	0
Dregg2.Circuit.Emit.KimchiDag	0	100000	0
Dregg2.Circuit.Emit.KimchiPoseidon2	0	20000	0
Dregg2.Circuit.Emit.KimchiPoseidonGate	0	8000	0
Dregg2.Circuit.Emit.KimchiRecursionGate	0	8000	0
Dregg2.Circuit.Emit.KimchiRootAirEval	0	20000	0
Dregg2.Circuit.Emit.KimchiStepMainCore	0	100000	0
Dregg2.Circuit.Emit.KimchiStepMainField	0	100000	0
Dregg2.Circuit.Emit.KimchiStepMainFixture	0	100000	0
Dregg2.Circuit.Emit.KimchiStepMainPins01	0	100000	0
Dregg2.Circuit.Emit.KimchiStepMainPins02	0	100000	0
Dregg2.Circuit.Emit.KimchiStepMainPins03	0	100000	0
Dregg2.Circuit.Emit.KimchiStepMainPins04	0	100000	0
Dregg2.Circuit.Emit.KimchiStepMainPins05	0	100000	0
Dregg2.Circuit.Emit.KimchiStepMainPins06	0	100000	0
Dregg2.Circuit.Emit.KimchiStepMainPins07	0	100000	0
Dregg2.Circuit.Emit.KimchiStepMainPins08	0	100000	0
Dregg2.Circuit.Emit.KimchiStepMainPins09	0	100000	0
Dregg2.Circuit.Emit.KimchiStepMainPins10	0	100000	0
Dregg2.Circuit.Emit.KimchiStepMainPins11	0	100000	0
Dregg2.Circuit.Emit.KimchiStepMainPins12	0	100000	0
Dregg2.Circuit.Emit.KimchiStepMainPins13	0	100000	0
Dregg2.Circuit.Emit.KimchiStepMainPins14	0	100000	0
Dregg2.Circuit.Emit.KimchiStepMainPins15	0	100000	0
Dregg2.Circuit.Emit.KimchiStepMainPins16	0	100000	0
Dregg2.Circuit.Emit.KimchiStepMainPins17	0	100000	0
Dregg2.Circuit.Emit.KimchiStepMainPins18	0	100000	0
Dregg2.Circuit.Emit.KimchiStepMainPins19	0	100000	0
Dregg2.Circuit.Emit.KimchiStepMainPins19d	0	100000	0
Dregg2.Circuit.Emit.KimchiStepProverChoice	0	100000	0
Dregg2.Circuit.Emit.KimchiStepStatementPins	0	100000	0
Dregg2.Circuit.Emit.KimchiWrapFinalizeSpongeGate	4000000	100000	0
Dregg2.Circuit.Emit.KimchiWrapMainCore	4000000	100000	0
Dregg2.Circuit.Emit.KimchiWrapMainField	0	1000000	0
Dregg2.Circuit.Emit.KimchiWrapMainFixture	4000000	100000	0
Dregg2.Circuit.Emit.KimchiWrapMainPins01	4000000	100000	0
Dregg2.Circuit.Emit.KimchiWrapMainPins02	4000000	100000	0
Dregg2.Circuit.Emit.KimchiWrapMainPins03	4000000	100000	0
Dregg2.Circuit.Emit.KimchiWrapMainPins04	4000000	100000	0
Dregg2.Circuit.Emit.KimchiWrapMainPins05	4000000	100000	0
Dregg2.Circuit.Emit.KimchiWrapMainPins06	4000000	100000	0
Dregg2.Circuit.Emit.KimchiWrapMainPins07	4000000	100000	0
Dregg2.Circuit.Emit.KimchiWrapMainPins08	4000000	100000	0
Dregg2.Circuit.Emit.KimchiWrapMainPins09	4000000	100000	0
Dregg2.Circuit.Emit.KimchiWrapMainPins10	4000000	100000	0
Dregg2.Circuit.Emit.KimchiWrapMainPins11	4000000	100000	0
Dregg2.Circuit.Emit.KimchiWrapMainPins12	4000000	100000	0
Dregg2.Circuit.Emit.KimchiWrapProverChoice	0	100000	0
Dregg2.Circuit.Emit.LexCompare8Emit	1600000	0	0
Dregg2.Circuit.Emit.LightClientAnchorConnectivity	1600000	4000	0
Dregg2.Circuit.Emit.LightClientEthAir	800000	0	0
Dregg2.Circuit.Emit.LightClientEthExecFold	0	8192	0
Dregg2.Circuit.Emit.LightClientEthFinFold	0	8192	0
Dregg2.Circuit.Emit.LightClientMidHashFold	0	8192	0
Dregg2.Circuit.Emit.LightClientMidnightAir	1600000	0	0
Dregg2.Circuit.Emit.LightClientMinaAir	1600000	4000	0
