META,version=1,fixture_root=../../../tools/direct-logic-dregg-benchmark/generated,profile=release,warmups=5,prove_samples=25,verify_samples=75,pair_order=alternating,proof_encoding=postcard,release_prover_self_verify=false,field=babybear,ext_degree=4,fri_log_blowup=6,fri_log_final_poly_len=0,fri_max_log_arity=3,fri_queries=19,fri_query_pow_bits=16,trace_rows=1
TAMPER,admission,source,public_input_0,verifier_rejected
TAMPER,admission,optimized,public_input_0,verifier_rejected
SAMPLE,clearance,optimized,verify,46,541375
SAMPLE,clearance,optimized,verify,47,776500
SAMPLE,clearance,source,verify,47,1040375
SAMPLE,clearance,source,verify,48,815875
SAMPLE,clearance,optimized,verify,48,734083
SAMPLE,clearance,optimized,verify,49,1016667
SAMPLE,clearance,source,verify,49,1287000
SAMPLE,clearance,source,verify,50,854292
SAMPLE,clearance,optimized,verify,50,710708
SAMPLE,clearance,optimized,verify,51,789667
SAMPLE,clearance,source,verify,51,916791
SAMPLE,clearance,source,verify,52,375208
SAMPLE,clearance,optimized,verify,52,683750
SAMPLE,clearance,optimized,verify,53,773542
SAMPLE,clearance,source,verify,53,966917
SAMPLE,clearance,source,verify,54,370000
SAMPLE,clearance,optimized,verify,54,360875
SAMPLE,clearance,optimized,verify,55,395166
SAMPLE,clearance,source,verify,55,590792
SAMPLE,clearance,source,verify,56,368500
SAMPLE,clearance,optimized,verify,56,449125
SAMPLE,clearance,optimized,verify,57,332959
SAMPLE,clearance,source,verify,57,403625
SAMPLE,clearance,source,verify,58,391541
SAMPLE,clearance,optimized,verify,58,342084
SAMPLE,clearance,optimized,verify,59,333500
SAMPLE,clearance,source,verify,59,366083
SAMPLE,clearance,source,verify,60,362458
SAMPLE,clearance,optimized,verify,60,331458
SAMPLE,clearance,optimized,verify,61,329667
SAMPLE,clearance,source,verify,61,361209
SAMPLE,clearance,source,verify,62,360666
SAMPLE,clearance,optimized,verify,62,330208
SAMPLE,clearance,optimized,verify,63,329417
SAMPLE,clearance,source,verify,63,361167
SAMPLE,clearance,source,verify,64,359917
SAMPLE,clearance,optimized,verify,64,330750
SAMPLE,clearance,optimized,verify,65,330292
SAMPLE,clearance,source,verify,65,362916
SAMPLE,clearance,source,verify,66,516625
SAMPLE,clearance,optimized,verify,66,589667
SAMPLE,clearance,optimized,verify,67,5820917
SAMPLE,clearance,source,verify,67,2956792
SAMPLE,clearance,source,verify,68,395792
SAMPLE,clearance,optimized,verify,68,349750
SAMPLE,clearance,optimized,verify,69,332917
SAMPLE,clearance,source,verify,69,363833
SAMPLE,clearance,source,verify,70,360292
SAMPLE,clearance,optimized,verify,70,331791
SAMPLE,clearance,optimized,verify,71,328916
SAMPLE,clearance,source,verify,71,361708
SAMPLE,clearance,source,verify,72,359458
SAMPLE,clearance,optimized,verify,72,1724250
SAMPLE,clearance,optimized,verify,73,2513333
SAMPLE,clearance,source,verify,73,380917
SAMPLE,clearance,source,verify,74,366000
SAMPLE,clearance,optimized,verify,74,335416
WORKLOAD,clearance,source,4,21,4,33,28,17,4978,78349d6d32967532081347c0425e1314e217e6856816b84cc91d57eef86efdad,10469,degree_bits=0
WORKLOAD,clearance,optimized,4,15,4,23,18,11,3427,256630f65ba021f12fdd90ab78416623f68044523c0bea5be8009d5d1312cfa8,10157,degree_bits=0
TAMPER,strand,source,public_input_0,verifier_rejected
TAMPER,strand,optimized,public_input_0,verifier_rejected
SAMPLE,strand,source,prove,0,70611792
SAMPLE,strand,optimized,prove,0,2428542
SAMPLE,strand,optimized,prove,1,6376167
SAMPLE,strand,source,prove,1,3004541
SAMPLE,strand,source,prove,2,2819792
SAMPLE,strand,optimized,prove,2,104379333
SAMPLE,strand,optimized,prove,3,82955500
SAMPLE,strand,source,prove,3,13554375
SAMPLE,strand,source,prove,4,39397584
SAMPLE,strand,optimized,prove,4,2503750
SAMPLE,strand,optimized,prove,5,57570958
SAMPLE,strand,source,prove,5,45454792
SAMPLE,strand,source,prove,6,27691542
SAMPLE,strand,optimized,prove,6,112031542
SAMPLE,strand,optimized,prove,7,12885667
SAMPLE,strand,source,prove,7,9988459
SAMPLE,strand,source,prove,8,32562292
SAMPLE,strand,optimized,prove,8,156054541
SAMPLE,strand,optimized,prove,9,4010916
SAMPLE,strand,source,prove,9,2481792
SAMPLE,strand,source,prove,10,8458541
SAMPLE,strand,optimized,prove,10,3180875
SAMPLE,strand,optimized,prove,11,31809250
SAMPLE,strand,source,prove,11,18893042
SAMPLE,strand,source,prove,12,31811125
SAMPLE,strand,optimized,prove,12,18327584
SAMPLE,strand,optimized,prove,13,139640417
SAMPLE,strand,source,prove,13,2421916
SAMPLE,strand,source,prove,14,5973375
SAMPLE,strand,optimized,prove,14,2464084
SAMPLE,strand,optimized,prove,15,11398042
SAMPLE,strand,source,prove,15,28230334
SAMPLE,strand,source,prove,16,2634958
SAMPLE,strand,optimized,prove,16,2388042
SAMPLE,strand,optimized,prove,17,3226791
SAMPLE,strand,source,prove,17,61910958
SAMPLE,strand,source,prove,18,24171083
SAMPLE,strand,optimized,prove,18,49759417
SAMPLE,strand,optimized,prove,19,28390750
SAMPLE,strand,source,prove,19,18409458
SAMPLE,strand,source,prove,20,29486042
SAMPLE,strand,optimized,prove,20,4158500
SAMPLE,strand,optimized,prove,21,2810542
SAMPLE,strand,source,prove,21,5208875
SAMPLE,strand,source,prove,22,69667875
SAMPLE,strand,optimized,prove,22,2459542
SAMPLE,strand,optimized,prove,23,2337916
SAMPLE,strand,source,prove,23,2324209
SAMPLE,strand,source,prove,24,2312750
SAMPLE,strand,optimized,prove,24,36363875
SAMPLE,strand,source,verify,0,62749667
SAMPLE,strand,optimized,verify,0,959334
SAMPLE,strand,optimized,verify,1,737292
SAMPLE,strand,source,verify,1,821083
SAMPLE,strand,source,verify,2,770875
SAMPLE,strand,optimized,verify,2,716250
SAMPLE,strand,optimized,verify,3,671375
SAMPLE,strand,source,verify,3,455375
SAMPLE,strand,source,verify,4,1039541
SAMPLE,strand,optimized,verify,4,345042
SAMPLE,strand,optimized,verify,5,326375
SAMPLE,strand,source,verify,5,340625
SAMPLE,strand,source,verify,6,335250
SAMPLE,strand,optimized,verify,6,326250
SAMPLE,strand,optimized,verify,7,322667
SAMPLE,strand,source,verify,7,322458
SAMPLE,strand,source,verify,8,322209
SAMPLE,strand,optimized,verify,8,324500
SAMPLE,strand,optimized,verify,9,324333
SAMPLE,strand,source,verify,9,326750
SAMPLE,strand,source,verify,10,587541
SAMPLE,strand,optimized,verify,10,753791
SAMPLE,strand,optimized,verify,11,71929250
SAMPLE,strand,source,verify,11,23513542
SAMPLE,strand,source,verify,12,995708
SAMPLE,strand,optimized,verify,12,567250
SAMPLE,strand,optimized,verify,13,4503750
SAMPLE,strand,source,verify,13,14444459
SAMPLE,strand,source,verify,14,1795541
SAMPLE,strand,optimized,verify,14,643417
SAMPLE,strand,optimized,verify,15,331208
SAMPLE,strand,source,verify,15,315792
SAMPLE,strand,source,verify,16,1456584
SAMPLE,strand,optimized,verify,16,2071292
SAMPLE,strand,optimized,verify,17,3155375
SAMPLE,strand,source,verify,17,1790584
SAMPLE,strand,source,verify,18,342166
SAMPLE,strand,optimized,verify,18,327833
SAMPLE,strand,optimized,verify,19,375583
SAMPLE,strand,source,verify,19,623708
SAMPLE,strand,source,verify,20,668166
SAMPLE,strand,optimized,verify,20,787958
SAMPLE,strand,optimized,verify,21,917000
SAMPLE,strand,source,verify,21,762000
SAMPLE,strand,source,verify,22,1181791
SAMPLE,strand,optimized,verify,22,618333
SAMPLE,strand,optimized,verify,23,330958
SAMPLE,strand,source,verify,23,1072542
SAMPLE,strand,source,verify,24,819250
SAMPLE,strand,optimized,verify,24,405292
SAMPLE,strand,optimized,verify,25,332833
SAMPLE,strand,source,verify,25,324584
SAMPLE,strand,source,verify,26,322667
SAMPLE,strand,optimized,verify,26,322500
SAMPLE,strand,optimized,verify,27,322125
SAMPLE,strand,source,verify,27,321875
SAMPLE,strand,source,verify,28,320958
SAMPLE,strand,optimized,verify,28,320584
SAMPLE,strand,optimized,verify,29,320958
SAMPLE,strand,source,verify,29,321666
SAMPLE,strand,source,verify,30,561209
SAMPLE,strand,optimized,verify,30,856500
SAMPLE,strand,optimized,verify,31,798958
SAMPLE,strand,source,verify,31,14284583
SAMPLE,strand,source,verify,32,7267959
SAMPLE,strand,optimized,verify,32,22004042
SAMPLE,strand,optimized,verify,33,348458
SAMPLE,strand,source,verify,33,329625
SAMPLE,strand,source,verify,34,325667
SAMPLE,strand,optimized,verify,34,50530958
SAMPLE,strand,optimized,verify,35,341584
SAMPLE,strand,source,verify,35,317958
SAMPLE,strand,source,verify,36,311208
SAMPLE,strand,optimized,verify,36,6934625
SAMPLE,strand,optimized,verify,37,327500
SAMPLE,strand,source,verify,37,313958
SAMPLE,strand,source,verify,38,3197666
SAMPLE,strand,optimized,verify,38,3953375
SAMPLE,strand,optimized,verify,39,43020250
SAMPLE,strand,source,verify,39,683834
SAMPLE,strand,source,verify,40,525167
SAMPLE,strand,optimized,verify,40,330625
SAMPLE,strand,optimized,verify,41,882584
SAMPLE,strand,source,verify,41,501417
SAMPLE,strand,source,verify,42,618042
SAMPLE,strand,optimized,verify,42,1446667
SAMPLE,strand,optimized,verify,43,633292
SAMPLE,strand,source,verify,43,733834
SAMPLE,strand,source,verify,44,715417
SAMPLE,strand,optimized,verify,44,707584
SAMPLE,strand,optimized,verify,45,739750
SAMPLE,strand,source,verify,45,717000
SAMPLE,strand,source,verify,46,602959
SAMPLE,strand,optimized,verify,46,542625
SAMPLE,strand,optimized,verify,47,1025667
SAMPLE,strand,source,verify,47,662084
SAMPLE,strand,source,verify,48,725250
SAMPLE,strand,optimized,verify,48,328333
SAMPLE,strand,optimized,verify,49,313250
SAMPLE,strand,source,verify,49,310625
SAMPLE,strand,source,verify,50,307959
SAMPLE,strand,optimized,verify,50,307708
SAMPLE,strand,optimized,verify,51,307083
SAMPLE,strand,source,verify,51,307875
SAMPLE,strand,source,verify,52,306833
SAMPLE,strand,optimized,verify,52,307125
SAMPLE,strand,optimized,verify,53,306500
SAMPLE,strand,source,verify,53,307625
SAMPLE,strand,source,verify,54,308917
SAMPLE,strand,optimized,verify,54,307250
SAMPLE,strand,optimized,verify,55,389792
SAMPLE,strand,source,verify,55,310000
SAMPLE,strand,source,verify,56,307084
SAMPLE,strand,optimized,verify,56,308209
SAMPLE,strand,optimized,verify,57,313292
SAMPLE,strand,source,verify,57,311958
SAMPLE,strand,source,verify,58,306916
SAMPLE,strand,optimized,verify,58,308041
SAMPLE,strand,optimized,verify,59,306917
SAMPLE,strand,source,verify,59,306625
SAMPLE,strand,source,verify,60,307209
SAMPLE,strand,optimized,verify,60,308208
SAMPLE,strand,optimized,verify,61,306500
SAMPLE,strand,source,verify,61,306833
SAMPLE,strand,source,verify,62,308542
SAMPLE,strand,optimized,verify,62,328167
SAMPLE,strand,optimized,verify,63,321542
SAMPLE,strand,source,verify,63,373250
SAMPLE,strand,source,verify,64,689792
SAMPLE,strand,optimized,verify,64,392000
SAMPLE,strand,optimized,verify,65,315083
SAMPLE,strand,source,verify,65,310500
SAMPLE,strand,source,verify,66,449916
SAMPLE,strand,optimized,verify,66,367292
SAMPLE,strand,optimized,verify,67,311708
SAMPLE,strand,source,verify,67,309250
SAMPLE,strand,source,verify,68,308584
SAMPLE,strand,optimized,verify,68,307709
SAMPLE,strand,optimized,verify,69,318167
SAMPLE,strand,source,verify,69,307167
SAMPLE,strand,source,verify,70,307792
SAMPLE,strand,optimized,verify,70,307084
SAMPLE,strand,optimized,verify,71,427916
SAMPLE,strand,source,verify,71,768584
SAMPLE,strand,source,verify,72,713667
SAMPLE,strand,optimized,verify,72,714209
SAMPLE,strand,optimized,verify,73,1204208
SAMPLE,strand,source,verify,73,341125
SAMPLE,strand,source,verify,74,568334
SAMPLE,strand,optimized,verify,74,331333
WORKLOAD,strand,source,3,11,3,17,13,8,2713,7921a03108a473f4fc87c61ba19972fe7ce1af19b3f7b814126d3d63850c7309,9850,degree_bits=0
WORKLOAD,strand,optimized,3,11,3,17,13,8,2713,7921a03108a473f4fc87c61ba19972fe7ce1af19b3f7b814126d3d63850c7309,9850,degree_bits=0
