META,version=1,fixture_root=../../../tools/direct-logic-dregg-benchmark/generated,profile=release,warmups=5,prove_samples=25,verify_samples=75,pair_order=alternating,proof_encoding=postcard,release_prover_self_verify=false,field=babybear,ext_degree=4,fri_log_blowup=6,fri_log_final_poly_len=0,fri_max_log_arity=3,fri_queries=19,fri_query_pow_bits=16,trace_rows=1
TAMPER,admission,source,public_input_0,verifier_rejected
TAMPER,admission,optimized,public_input_0,verifier_rejected
SAMPLE,admission,source,verify,43,1124792
SAMPLE,admission,source,verify,44,648958
SAMPLE,admission,optimized,verify,44,518042
SAMPLE,admission,optimized,verify,45,583167
SAMPLE,admission,source,verify,45,656416
SAMPLE,admission,source,verify,46,748000
SAMPLE,admission,optimized,verify,46,560166
SAMPLE,admission,optimized,verify,47,475500
SAMPLE,admission,source,verify,47,632625
SAMPLE,admission,source,verify,48,670250
SAMPLE,admission,optimized,verify,48,496750
SAMPLE,admission,optimized,verify,49,585750
SAMPLE,admission,source,verify,49,608750
SAMPLE,admission,source,verify,50,736000
SAMPLE,admission,optimized,verify,50,1099250
SAMPLE,admission,optimized,verify,51,15356000
SAMPLE,admission,source,verify,51,11384209
SAMPLE,admission,source,verify,52,7275125
SAMPLE,admission,optimized,verify,52,2365750
SAMPLE,admission,optimized,verify,53,755458
SAMPLE,admission,source,verify,53,1587292
SAMPLE,admission,source,verify,54,3132500
SAMPLE,admission,optimized,verify,54,543042
SAMPLE,admission,optimized,verify,55,7024208
SAMPLE,admission,source,verify,55,3374291
SAMPLE,admission,source,verify,56,13486167
SAMPLE,admission,optimized,verify,56,1341958
SAMPLE,admission,optimized,verify,57,607583
SAMPLE,admission,source,verify,57,667584
SAMPLE,admission,source,verify,58,673416
SAMPLE,admission,optimized,verify,58,519375
SAMPLE,admission,optimized,verify,59,504250
SAMPLE,admission,source,verify,59,683166
SAMPLE,admission,source,verify,60,618917
SAMPLE,admission,optimized,verify,60,596000
SAMPLE,admission,optimized,verify,61,473667
SAMPLE,admission,source,verify,61,608875
SAMPLE,admission,source,verify,62,606208
SAMPLE,admission,optimized,verify,62,544250
SAMPLE,admission,optimized,verify,63,490833
SAMPLE,admission,source,verify,63,634959
SAMPLE,admission,source,verify,64,858209
SAMPLE,admission,optimized,verify,64,572083
SAMPLE,admission,optimized,verify,65,489584
SAMPLE,admission,source,verify,65,727959
SAMPLE,admission,source,verify,66,646583
SAMPLE,admission,optimized,verify,66,500708
SAMPLE,admission,optimized,verify,67,664041
SAMPLE,admission,source,verify,67,634416
SAMPLE,admission,source,verify,68,5419750
SAMPLE,admission,optimized,verify,68,1635000
SAMPLE,admission,optimized,verify,69,7998583
SAMPLE,admission,source,verify,69,3975792
SAMPLE,admission,source,verify,70,1406625
SAMPLE,admission,optimized,verify,70,1263167
SAMPLE,admission,optimized,verify,71,656416
SAMPLE,admission,source,verify,71,834292
SAMPLE,admission,source,verify,72,1608084
SAMPLE,admission,optimized,verify,72,546792
SAMPLE,admission,optimized,verify,73,985917
SAMPLE,admission,source,verify,73,1222791
SAMPLE,admission,source,verify,74,1515500
SAMPLE,admission,optimized,verify,74,538458
WORKLOAD,admission,source,12,77,12,121,108,65,17845,7306ad678e59093b0bf785075984ef5083f9f5d94b386ac23f4309172d4113af,14016,degree_bits=0
WORKLOAD,admission,optimized,12,47,12,71,58,35,10091,5ca61f08c5eb58b89daa75c08ab5e426d1a6b227534e7c9be3d6b6d08fe81a63,11894,degree_bits=0
TAMPER,upgrade,source,public_input_0,verifier_rejected
TAMPER,upgrade,optimized,public_input_0,verifier_rejected
SAMPLE,upgrade,source,prove,0,117875417
SAMPLE,upgrade,optimized,prove,0,17994250
SAMPLE,upgrade,optimized,prove,1,89552208
SAMPLE,upgrade,source,prove,1,103573834
SAMPLE,upgrade,source,prove,2,155082625
SAMPLE,upgrade,optimized,prove,2,34016500
SAMPLE,upgrade,optimized,prove,3,34354083
SAMPLE,upgrade,source,prove,3,185583917
SAMPLE,upgrade,source,prove,4,33724791
SAMPLE,upgrade,optimized,prove,4,66834584
SAMPLE,upgrade,optimized,prove,5,27134209
SAMPLE,upgrade,source,prove,5,131889083
SAMPLE,upgrade,source,prove,6,154956792
SAMPLE,upgrade,optimized,prove,6,44616625
SAMPLE,upgrade,optimized,prove,7,119201792
SAMPLE,upgrade,source,prove,7,212476208
SAMPLE,upgrade,source,prove,8,116510292
SAMPLE,upgrade,optimized,prove,8,48448208
SAMPLE,upgrade,optimized,prove,9,48746375
SAMPLE,upgrade,source,prove,9,123365334
SAMPLE,upgrade,source,prove,10,39841708
SAMPLE,upgrade,optimized,prove,10,119629459
SAMPLE,upgrade,optimized,prove,11,74863292
SAMPLE,upgrade,source,prove,11,72620917
SAMPLE,upgrade,source,prove,12,42181958
SAMPLE,upgrade,optimized,prove,12,135194875
SAMPLE,upgrade,optimized,prove,13,12398250
SAMPLE,upgrade,source,prove,13,172217083
SAMPLE,upgrade,source,prove,14,62177500
SAMPLE,upgrade,optimized,prove,14,40143333
SAMPLE,upgrade,optimized,prove,15,17446583
SAMPLE,upgrade,source,prove,15,123755333
SAMPLE,upgrade,source,prove,16,79262416
SAMPLE,upgrade,optimized,prove,16,44330708
SAMPLE,upgrade,optimized,prove,17,11767500
SAMPLE,upgrade,source,prove,17,60841417
SAMPLE,upgrade,source,prove,18,56960334
SAMPLE,upgrade,optimized,prove,18,24291500
SAMPLE,upgrade,optimized,prove,19,60684667
SAMPLE,upgrade,source,prove,19,120903458
SAMPLE,upgrade,source,prove,20,102351958
SAMPLE,upgrade,optimized,prove,20,73178708
SAMPLE,upgrade,optimized,prove,21,52166792
SAMPLE,upgrade,source,prove,21,93688333
SAMPLE,upgrade,source,prove,22,66528666
SAMPLE,upgrade,optimized,prove,22,83201250
SAMPLE,upgrade,optimized,prove,23,40457500
SAMPLE,upgrade,source,prove,23,54022917
SAMPLE,upgrade,source,prove,24,102988709
SAMPLE,upgrade,optimized,prove,24,56733625
SAMPLE,upgrade,source,verify,0,1177125
SAMPLE,upgrade,optimized,verify,0,1131542
SAMPLE,upgrade,optimized,verify,1,1137833
SAMPLE,upgrade,source,verify,1,660542
SAMPLE,upgrade,source,verify,2,739667
SAMPLE,upgrade,optimized,verify,2,478292
SAMPLE,upgrade,optimized,verify,3,363375
SAMPLE,upgrade,source,verify,3,696708
SAMPLE,upgrade,source,verify,4,382292
SAMPLE,upgrade,optimized,verify,4,812459
SAMPLE,upgrade,optimized,verify,5,443625
SAMPLE,upgrade,source,verify,5,378750
SAMPLE,upgrade,source,verify,6,364500
SAMPLE,upgrade,optimized,verify,6,528750
SAMPLE,upgrade,optimized,verify,7,410875
