workload,variant,kind,sample,bytes,blake3,disposition
clearance,source,honest-proof,0,10469,a9ab50d73b7d6a008e0561db93350de585b11aed75c1213a0bb5d6d7b3d33d33,consumer_verified
clearance,source,honest-proof,1,10469,a9ab50d73b7d6a008e0561db93350de585b11aed75c1213a0bb5d6d7b3d33d33,consumer_verified
clearance,source,honest-proof,2,10469,a9ab50d73b7d6a008e0561db93350de585b11aed75c1213a0bb5d6d7b3d33d33,consumer_verified
clearance,source,honest-proof,3,10469,a9ab50d73b7d6a008e0561db93350de585b11aed75c1213a0bb5d6d7b3d33d33,consumer_verified
clearance,source,honest-proof,4,10469,a9ab50d73b7d6a008e0561db93350de585b11aed75c1213a0bb5d6d7b3d33d33,consumer_verified
clearance,source,public-input-tamper,0,0,none,consumer_verifier_rejected
clearance,optimized,fixture-descriptor,0,3427,256630f65ba021f12fdd90ab78416623f68044523c0bea5be8009d5d1312cfa8,pinned
clearance,optimized,fixture-trace,0,30,376858665536197d893d93522a5127f8f6a11dd8bf3b3f546bff90836d731c9c,pinned
clearance,optimized,fixture-public,0,8,467bd0c78ffbd722bc59ab9a0ee3d242815a409d7547f7346192293e641a01f7,pinned
clearance,optimized,fixture-truth,0,8,a01cfce8255ff2d52dade7ca509a5ed59dd44765a4e5e8045269cf39a3da4567,pinned
clearance,optimized,honest-proof,0,10157,7ea488876c690c836a63b1cb63473737cb73c0f949b4b42494b0c6dba0ae814d,consumer_verified
clearance,optimized,honest-proof,1,10157,7ea488876c690c836a63b1cb63473737cb73c0f949b4b42494b0c6dba0ae814d,consumer_verified
clearance,optimized,honest-proof,2,10157,7ea488876c690c836a63b1cb63473737cb73c0f949b4b42494b0c6dba0ae814d,consumer_verified
clearance,optimized,honest-proof,3,10157,7ea488876c690c836a63b1cb63473737cb73c0f949b4b42494b0c6dba0ae814d,consumer_verified
clearance,optimized,honest-proof,4,10157,7ea488876c690c836a63b1cb63473737cb73c0f949b4b42494b0c6dba0ae814d,consumer_verified
clearance,optimized,public-input-tamper,0,0,none,consumer_verifier_rejected
strand,source,fixture-descriptor,0,2713,7921a03108a473f4fc87c61ba19972fe7ce1af19b3f7b814126d3d63850c7309,pinned
strand,source,fixture-trace,0,22,20fad2a0c0fcd915873ccd7b324ac94bd1733b6bcbca802eeda481eb526cd669,pinned
strand,source,fixture-public,0,6,98dcf5ec79451a4afe3334d00fe2ce94d0150296100f7eea5d60f4f721c621f2,pinned
strand,source,fixture-truth,0,6,76f736934245924a08b2188ebd969083b565d51aded4f46ccf2ca2dbaf515f82,pinned
strand,source,honest-proof,0,9850,836b39bdb49319aba87e7b447233d33cdea14e668803c53be76f4eced0553a68,consumer_verified
strand,source,honest-proof,1,9850,836b39bdb49319aba87e7b447233d33cdea14e668803c53be76f4eced0553a68,consumer_verified
strand,source,honest-proof,2,9850,836b39bdb49319aba87e7b447233d33cdea14e668803c53be76f4eced0553a68,consumer_verified
strand,source,honest-proof,3,9850,836b39bdb49319aba87e7b447233d33cdea14e668803c53be76f4eced0553a68,consumer_verified
strand,source,honest-proof,4,9850,836b39bdb49319aba87e7b447233d33cdea14e668803c53be76f4eced0553a68,consumer_verified
strand,source,public-input-tamper,0,0,none,consumer_verifier_rejected
strand,optimized,fixture-descriptor,0,2713,7921a03108a473f4fc87c61ba19972fe7ce1af19b3f7b814126d3d63850c7309,pinned
strand,optimized,fixture-trace,0,22,20fad2a0c0fcd915873ccd7b324ac94bd1733b6bcbca802eeda481eb526cd669,pinned
strand,optimized,fixture-public,0,6,98dcf5ec79451a4afe3334d00fe2ce94d0150296100f7eea5d60f4f721c621f2,pinned
strand,optimized,fixture-truth,0,6,76f736934245924a08b2188ebd969083b565d51aded4f46ccf2ca2dbaf515f82,pinned
strand,optimized,honest-proof,0,9850,836b39bdb49319aba87e7b447233d33cdea14e668803c53be76f4eced0553a68,consumer_verified
strand,optimized,honest-proof,1,9850,836b39bdb49319aba87e7b447233d33cdea14e668803c53be76f4eced0553a68,consumer_verified
strand,optimized,honest-proof,2,9850,836b39bdb49319aba87e7b447233d33cdea14e668803c53be76f4eced0553a68,consumer_verified
strand,optimized,honest-proof,3,9850,836b39bdb49319aba87e7b447233d33cdea14e668803c53be76f4eced0553a68,consumer_verified
strand,optimized,honest-proof,4,9850,836b39bdb49319aba87e7b447233d33cdea14e668803c53be76f4eced0553a68,consumer_verified
strand,optimized,public-input-tamper,0,0,none,consumer_verifier_rejected
