META,session=session-01,warmups=20,repeats=200,order=alternating,consumer_verifier=true
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,46,1183451
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,47,1202827
VERIFY_SWEEP,session-01,admission,expiry-none,source,47,1513924
VERIFY_SWEEP,session-01,admission,expiry-none,source,48,1538390
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,48,1190314
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,49,1183251
VERIFY_SWEEP,session-01,admission,expiry-none,source,49,1521198
VERIFY_SWEEP,session-01,admission,expiry-none,source,50,1537418
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,50,1203229
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,51,1193089
VERIFY_SWEEP,session-01,admission,expiry-none,source,51,1555342
VERIFY_SWEEP,session-01,admission,expiry-none,source,52,1567465
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,52,1197167
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,53,1176358
VERIFY_SWEEP,session-01,admission,expiry-none,source,53,1535094
VERIFY_SWEEP,session-01,admission,expiry-none,source,54,1544031
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,54,1194231
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,55,1226983
VERIFY_SWEEP,session-01,admission,expiry-none,source,55,1532850
VERIFY_SWEEP,session-01,admission,expiry-none,source,56,1519585
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,56,1155789
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,57,1150098
VERIFY_SWEEP,session-01,admission,expiry-none,source,57,1510127
VERIFY_SWEEP,session-01,admission,expiry-none,source,58,1511970
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,58,1186467
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,59,1183391
VERIFY_SWEEP,session-01,admission,expiry-none,source,59,1536125
VERIFY_SWEEP,session-01,admission,expiry-none,source,60,1572725
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,60,1224659
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,61,1239557
VERIFY_SWEEP,session-01,admission,expiry-none,source,61,1592823
VERIFY_SWEEP,session-01,admission,expiry-none,source,62,1585128
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,62,1113550
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,63,1170987
VERIFY_SWEEP,session-01,admission,expiry-none,source,63,1462547
VERIFY_SWEEP,session-01,admission,expiry-none,source,64,1499737
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,64,1183581
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,65,1169094
VERIFY_SWEEP,session-01,admission,expiry-none,source,65,1505287
VERIFY_SWEEP,session-01,admission,expiry-none,source,66,1476323
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,66,1183682
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,67,1161470
VERIFY_SWEEP,session-01,admission,expiry-none,source,67,1506570
VERIFY_SWEEP,session-01,admission,expiry-none,source,68,1522049
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,68,1191205
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,69,1174464
VERIFY_SWEEP,session-01,admission,expiry-none,source,69,1536287
VERIFY_SWEEP,session-01,admission,expiry-none,source,70,1518733
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,70,1166660
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,71,1147012
VERIFY_SWEEP,session-01,admission,expiry-none,source,71,1502633
VERIFY_SWEEP,session-01,admission,expiry-none,source,72,1498876
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,72,1177660
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,73,1166018
VERIFY_SWEEP,session-01,admission,expiry-none,source,73,1601960
VERIFY_SWEEP,session-01,admission,expiry-none,source,74,1525607
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,74,1170597
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,75,1137334
VERIFY_SWEEP,session-01,admission,expiry-none,source,75,1488476
VERIFY_SWEEP,session-01,admission,expiry-none,source,76,1493836
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,76,1144638
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,77,1189533
VERIFY_SWEEP,session-01,admission,expiry-none,source,77,1512081
VERIFY_SWEEP,session-01,admission,expiry-none,source,78,1475392
VERIFY_SWEEP,session-01,admission,expiry-none,optimized,78,1143165
