META,kind=native_boolean_no_proof,iterations=10000000,samples=25,black_box=true
BASELINE,clearance-source,21,10000000,6126360
BASELINE,clearance-source,22,10000000,6432136
BASELINE,clearance-source,23,10000000,6174731
BASELINE,clearance-source,24,10000000,6169932
BASELINE,clearance-optimized,0,10000000,6202102
BASELINE,clearance-optimized,1,10000000,6288345
BASELINE,clearance-optimized,2,10000000,6134505
BASELINE,clearance-optimized,3,10000000,6150184
BASELINE,clearance-optimized,4,10000000,6268427
BASELINE,clearance-optimized,5,10000000,6145265
BASELINE,clearance-optimized,6,10000000,6239282
BASELINE,clearance-optimized,7,10000000,6131870
BASELINE,clearance-optimized,8,10000000,6133794
BASELINE,clearance-optimized,9,10000000,6238551
BASELINE,clearance-optimized,10,10000000,6106362
BASELINE,clearance-optimized,11,10000000,6100160
BASELINE,clearance-optimized,12,10000000,6181233
BASELINE,clearance-optimized,13,10000000,6192674
BASELINE,clearance-optimized,14,10000000,6110130
BASELINE,clearance-optimized,15,10000000,6074612
BASELINE,clearance-optimized,16,10000000,6338760
BASELINE,clearance-optimized,17,10000000,6137210
BASELINE,clearance-optimized,18,10000000,6224505
BASELINE,clearance-optimized,19,10000000,6151718
BASELINE,clearance-optimized,20,10000000,6164792
BASELINE,clearance-optimized,21,10000000,6126831
BASELINE,clearance-optimized,22,10000000,6235035
BASELINE,clearance-optimized,23,10000000,6119216
BASELINE,clearance-optimized,24,10000000,6215567
BASELINE,strand-source,0,10000000,4060138
BASELINE,strand-source,1,10000000,3841997
BASELINE,strand-source,2,10000000,3805288
BASELINE,strand-source,3,10000000,3844071
BASELINE,strand-source,4,10000000,3848809
BASELINE,strand-source,5,10000000,3823432
BASELINE,strand-source,6,10000000,3848229
BASELINE,strand-source,7,10000000,3827700
BASELINE,strand-source,8,10000000,3832570
BASELINE,strand-source,9,10000000,3806330
BASELINE,strand-source,10,10000000,3949199
BASELINE,strand-source,11,10000000,3816549
BASELINE,strand-source,12,10000000,3813934
BASELINE,strand-source,13,10000000,3814295
BASELINE,strand-source,14,10000000,3808674
BASELINE,strand-source,15,10000000,3788487
BASELINE,strand-source,16,10000000,3840645
BASELINE,strand-source,17,10000000,3818492
BASELINE,strand-source,18,10000000,3784298
BASELINE,strand-source,19,10000000,3818142
BASELINE,strand-source,20,10000000,3812381
BASELINE,strand-source,21,10000000,3816148
BASELINE,strand-source,22,10000000,3810688
BASELINE,strand-source,23,10000000,3881160
BASELINE,strand-source,24,10000000,3810157
BASELINE,strand-optimized,0,10000000,3793947
BASELINE,strand-optimized,1,10000000,3800749
BASELINE,strand-optimized,2,10000000,3807151
BASELINE,strand-optimized,3,10000000,3786843
BASELINE,strand-optimized,4,10000000,3957024
BASELINE,strand-optimized,5,10000000,3795168
BASELINE,strand-optimized,6,10000000,3821709
BASELINE,strand-optimized,7,10000000,3841866
BASELINE,strand-optimized,8,10000000,3899165
BASELINE,strand-optimized,9,10000000,3819866
BASELINE,strand-optimized,10,10000000,3905307
BASELINE,strand-optimized,11,10000000,3839522
BASELINE,strand-optimized,12,10000000,3847778
BASELINE,strand-optimized,13,10000000,4242882
BASELINE,strand-optimized,14,10000000,3977502
BASELINE,strand-optimized,15,10000000,3826177
BASELINE,strand-optimized,16,10000000,4369361
BASELINE,strand-optimized,17,10000000,3833701
BASELINE,strand-optimized,18,10000000,3834974
BASELINE,strand-optimized,19,10000000,3928680
BASELINE,strand-optimized,20,10000000,3831317
BASELINE,strand-optimized,21,10000000,3810648
BASELINE,strand-optimized,22,10000000,3857546
BASELINE,strand-optimized,23,10000000,3836056
BASELINE,strand-optimized,24,10000000,3821518
